,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
13927,13928,2011,8,4,7,2,-1,-1,-1,109,22.0,88.0,1005.0,24.0,SE,1.78,0.0,0.0
13928,13929,2011,8,4,8,2,-1,-1,-1,119,22.0,83.0,1006.0,25.0,SE,3.57,0.0,0.0
13929,13930,2011,8,4,9,2,-1,-1,-1,113,22.0,74.0,1005.0,27.0,NW,1.79,0.0,0.0
13930,13931,2011,8,4,10,2,-1,-1,-1,114,22.0,69.0,1005.0,28.0,NW,2.68,0.0,0.0
13931,13932,2011,8,4,11,2,-1,-1,-1,106,23.0,70.0,1005.0,29.0,NW,1.79,0.0,0.0
13932,13933,2011,8,4,12,2,-1,-1,-1,103,23.0,66.0,1004.0,30.0,SE,0.89,0.0,0.0
13933,13934,2011,8,4,13,2,-1,-1,-1,109,24.0,66.0,1004.0,31.0,SE,1.79,0.0,0.0
13934,13935,2011,8,4,14,2,-1,-1,-1,114,23.0,59.0,1004.0,32.0,SE,3.58,0.0,0.0
13935,13936,2011,8,4,15,2,-1,-1,-1,101,22.0,58.0,1004.0,31.0,SE,7.6,0.0,0.0
13936,13937,2011,8,4,16,2,-1,-1,-1,100,22.0,58.0,1004.0,31.0,SE,11.62,0.0,0.0
13937,13938,2011,8,4,17,2,-1,-1,-1,117,22.0,62.0,1004.0,30.0,SE,15.64,0.0,0.0
13938,13939,2011,8,4,18,2,-1,-1,-1,115,21.0,62.0,1004.0,29.0,SE,20.56,0.0,0.0
13939,13940,2011,8,4,19,2,-1,-1,-1,117,21.0,65.0,1004.0,28.0,SE,23.69,0.0,0.0
13940,13941,2011,8,4,20,2,-1,-1,-1,-1,21.0,69.0,1005.0,27.0,SE,25.48,0.0,0.0
13941,13942,2011,8,4,21,2,-1,-1,-1,101,21.0,78.0,1006.0,25.0,SE,27.27,0.0,0.0
13942,13943,2011,8,4,22,2,-1,-1,-1,107,22.0,83.0,1006.0,25.0,SE,0.89,0.0,0.0
13943,13944,2011,8,4,23,2,-1,-1,-1,118,23.0,94.0,1006.0,24.0,SE,1.34,0.0,0.0
13944,13945,2011,8,5,0,2,-1,-1,-1,138,23.0,94.0,1006.0,24.0,SE,1.79,0.0,0.0
13945,13946,2011,8,5,1,2,-1,-1,-1,166,23.0,94.0,1006.0,24.0,SE,3.58,0.0,0.0
13946,13947,2011,8,5,2,2,-1,-1,-1,144,22.0,88.0,1006.0,24.0,SE,5.37,0.0,0.0
13947,13948,2011,8,5,3,2,-1,-1,-1,146,23.0,94.0,1006.0,24.0,SE,7.16,0.0,0.0
13948,13949,2011,8,5,4,2,-1,-1,-1,154,23.0,94.0,1006.0,24.0,SE,8.05,0.0,0.0
13949,13950,2011,8,5,5,2,-1,-1,-1,166,23.0,100.0,1006.0,23.0,SE,8.94,0.0,0.0
13950,13951,2011,8,5,6,2,-1,-1,-1,190,23.0,94.0,1007.0,24.0,SE,10.73,0.0,0.0
13951,13952,2011,8,5,7,2,-1,-1,-1,205,23.0,88.0,1007.0,25.0,SE,12.52,0.0,0.0
13952,13953,2011,8,5,8,2,-1,-1,-1,200,24.0,88.0,1007.0,26.0,SE,0.89,0.0,0.0
13953,13954,2011,8,5,9,2,-1,-1,-1,178,24.0,88.0,1007.0,26.0,SE,1.79,0.0,0.0
13954,13955,2011,8,5,10,2,-1,-1,-1,134,24.0,83.0,1007.0,27.0,SE,3.58,0.0,0.0
13955,13956,2011,8,5,11,2,-1,-1,-1,134,24.0,74.0,1007.0,29.0,SE,5.37,0.0,0.0
13956,13957,2011,8,5,12,2,-1,-1,-1,144,24.0,74.0,1007.0,29.0,SE,7.16,0.0,0.0
13957,13958,2011,8,5,13,2,-1,-1,-1,142,23.0,66.0,1006.0,30.0,SE,10.29,0.0,0.0
13958,13959,2011,8,5,14,2,-1,-1,-1,140,23.0,66.0,1006.0,30.0,SE,13.42,0.0,0.0
13959,13960,2011,8,5,15,2,-1,-1,-1,132,23.0,66.0,1005.0,30.0,SE,17.44,0.0,0.0
13960,13961,2011,8,5,16,2,-1,-1,-1,143,23.0,66.0,1005.0,30.0,SE,21.46,0.0,0.0
13961,13962,2011,8,5,17,2,-1,-1,-1,144,23.0,66.0,1005.0,30.0,SE,24.59,0.0,0.0
13962,13963,2011,8,5,18,2,-1,-1,-1,175,22.0,65.0,1005.0,29.0,SE,27.72,0.0,0.0
13963,13964,2011,8,5,19,2,-1,-1,-1,154,23.0,74.0,1005.0,28.0,SE,30.85,0.0,0.0
13964,13965,2011,8,5,20,2,-1,-1,-1,142,23.0,78.0,1006.0,27.0,SE,33.98,0.0,0.0
13965,13966,2011,8,5,21,2,-1,-1,-1,119,22.0,78.0,1006.0,26.0,SE,37.11,0.0,0.0
13966,13967,2011,8,5,22,2,-1,-1,-1,104,22.0,78.0,1007.0,26.0,SE,40.24,0.0,0.0
13967,13968,2011,8,5,23,2,-1,-1,-1,114,22.0,83.0,1007.0,25.0,SE,42.03,0.0,0.0
13968,13969,2011,8,6,0,2,-1,-1,-1,112,22.0,88.0,1007.0,24.0,SE,43.82,0.0,0.0
13969,13970,2011,8,6,1,2,-1,-1,-1,-1,22.0,88.0,1006.0,24.0,SE,46.95,0.0,0.0
13970,13971,2011,8,6,2,2,-1,-1,-1,-1,23.0,94.0,1006.0,24.0,SE,50.08,0.0,0.0
13971,13972,2011,8,6,3,2,-1,-1,-1,-1,22.0,94.0,1006.0,23.0,SE,0.89,0.0,0.0
13972,13973,2011,8,6,4,2,-1,-1,-1,-1,22.0,94.0,1006.0,23.0,SE,0.89,0.0,0.0
13973,13974,2011,8,6,5,2,-1,-1,-1,-1,22.0,94.0,1006.0,23.0,SE,1.78,0.0,0.0
13974,13975,2011,8,6,6,2,-1,-1,-1,-1,23.0,100.0,1006.0,23.0,SE,0.89,0.0,0.0
13975,13976,2011,8,6,7,2,-1,-1,-1,-1,23.0,94.0,1007.0,24.0,SE,1.79,0.0,0.0
13976,13977,2011,8,6,8,2,-1,-1,-1,-1,23.0,88.0,1007.0,25.0,SE,4.92,0.0,0.0
13977,13978,2011,8,6,9,2,-1,-1,-1,-1,23.0,83.0,1007.0,26.0,SE,8.94,0.0,0.0
13978,13979,2011,8,6,10,2,-1,-1,-1,-1,23.0,83.0,1007.0,26.0,SE,12.96,0.0,0.0
13979,13980,2011,8,6,11,2,-1,-1,-1,-1,23.0,74.0,1007.0,28.0,SE,16.09,0.0,0.0
13980,13981,2011,8,6,12,2,-1,-1,-1,-1,22.0,65.0,1006.0,29.0,SE,20.11,0.0,0.0
13981,13982,2011,8,6,13,2,-1,-1,-1,-1,22.0,69.0,1006.0,28.0,SE,23.24,0.0,0.0
13982,13983,2011,8,6,14,2,-1,-1,-1,-1,21.0,62.0,1005.0,29.0,SE,27.26,0.0,0.0
13983,13984,2011,8,6,15,2,-1,-1,-1,-1,21.0,62.0,1005.0,29.0,SE,31.28,0.0,0.0
13984,13985,2011,8,6,16,2,-1,-1,-1,-1,21.0,65.0,1005.0,28.0,SE,36.2,0.0,0.0
13985,13986,2011,8,6,17,2,-1,-1,-1,-1,21.0,69.0,1006.0,27.0,SE,41.12,0.0,0.0
13986,13987,2011,8,6,18,2,-1,-1,-1,-1,21.0,73.0,1006.0,26.0,SE,45.14,0.0,0.0
13987,13988,2011,8,6,19,2,-1,-1,-1,-1,21.0,78.0,1006.0,25.0,SE,49.16,0.0,0.0
13988,13989,2011,8,6,20,2,-1,-1,-1,-1,22.0,88.0,1007.0,24.0,SE,52.29,0.0,0.0
13989,13990,2011,8,6,21,2,-1,-1,-1,-1,22.0,88.0,1007.0,24.0,SE,55.42,0.0,0.0
13990,13991,2011,8,6,22,2,-1,-1,-1,-1,22.0,88.0,1008.0,24.0,SE,58.55,0.0,0.0
13991,13992,2011,8,6,23,2,-1,-1,-1,105,22.0,88.0,1008.0,24.0,SE,60.34,0.0,0.0
13992,13993,2011,8,7,0,2,-1,-1,-1,-1,22.0,88.0,1008.0,24.0,SE,61.23,0.0,0.0
13993,13994,2011,8,7,1,2,-1,-1,-1,-1,23.0,94.0,1007.0,24.0,SE,62.12,0.0,0.0
13994,13995,2011,8,7,2,2,-1,-1,-1,-1,22.0,94.0,1007.0,23.0,NE,0.89,0.0,0.0
13995,13996,2011,8,7,3,2,-1,-1,-1,-1,22.0,94.0,1007.0,23.0,NE,1.78,0.0,0.0
13996,13997,2011,8,7,4,2,-1,-1,-1,-1,22.0,94.0,1007.0,23.0,NE,2.67,0.0,0.0
13997,13998,2011,8,7,5,2,-1,-1,-1,-1,23.0,100.0,1007.0,23.0,NE,3.56,0.0,0.0
13998,13999,2011,8,7,6,2,-1,-1,-1,-1,23.0,94.0,1008.0,24.0,NE,0.89,0.0,0.0
13999,14000,2011,8,7,7,2,-1,-1,-1,-1,23.0,94.0,1008.0,24.0,SE,0.89,0.0,0.0
14000,14001,2011,8,7,8,2,-1,-1,-1,-1,24.0,94.0,1008.0,25.0,SE,1.79,0.0,0.0
14001,14002,2011,8,7,9,2,-1,-1,-1,-1,23.0,83.0,1008.0,26.0,SE,3.58,0.0,0.0
14002,14003,2011,8,7,10,2,-1,-1,-1,-1,23.0,74.0,1008.0,28.0,SE,0.89,0.0,0.0
14003,14004,2011,8,7,11,2,-1,-1,-1,-1,24.0,78.0,1007.0,28.0,SE,1.78,0.0,0.0
14004,14005,2011,8,7,12,2,-1,-1,-1,-1,24.0,74.0,1007.0,29.0,SE,3.13,0.0,0.0
14005,14006,2011,8,7,13,2,-1,-1,-1,-1,24.0,74.0,1006.0,29.0,SE,6.26,0.0,0.0
14006,14007,2011,8,7,14,2,-1,-1,-1,-1,24.0,66.0,1006.0,31.0,SE,9.39,0.0,0.0
14007,14008,2011,8,7,15,2,-1,-1,-1,-1,24.0,70.0,1005.0,30.0,SE,11.18,0.0,0.0
14008,14009,2011,8,7,16,2,-1,-1,-1,-1,23.0,66.0,1005.0,30.0,SE,12.97,0.0,0.0
14009,14010,2011,8,7,17,2,-1,-1,-1,-1,23.0,66.0,1004.0,30.0,SE,14.76,0.0,0.0
14010,14011,2011,8,7,18,2,-1,-1,-1,-1,23.0,66.0,1004.0,30.0,SE,16.55,0.0,0.0
14011,14012,2011,8,7,19,2,-1,-1,-1,-1,24.0,78.0,1004.0,28.0,SE,19.68,0.0,0.0
14012,14013,2011,8,7,20,2,-1,-1,-1,-1,23.0,83.0,1004.0,26.0,SE,22.81,0.0,0.0
14013,14014,2011,8,7,21,2,-1,-1,-1,-1,23.0,83.0,1005.0,26.0,SE,24.6,0.0,0.0
14014,14015,2011,8,7,22,2,-1,-1,-1,-1,24.0,94.0,1004.0,25.0,SE,25.49,0.0,0.0
14015,14016,2011,8,7,23,2,-1,-1,-1,-1,24.0,94.0,1004.0,25.0,SE,27.28,0.0,0.0
14016,14017,2011,8,8,0,2,-1,-1,-1,-1,24.0,94.0,1004.0,25.0,SE,29.07,0.0,0.0
14017,14018,2011,8,8,1,2,-1,-1,-1,-1,24.0,94.0,1004.0,25.0,SE,30.86,0.0,0.0
14018,14019,2011,8,8,2,2,-1,-1,-1,-1,23.0,94.0,1003.0,24.0,SE,31.75,0.0,0.0
14019,14020,2011,8,8,3,2,-1,-1,-1,-1,23.0,94.0,1003.0,24.0,NW,1.79,0.0,0.0
14020,14021,2011,8,8,4,2,-1,-1,-1,-1,23.0,94.0,1003.0,24.0,NW,0.89,0.0,0.0
14021,14022,2011,8,8,5,2,-1,-1,-1,115,23.0,100.0,1002.0,23.0,NW,1.79,0.0,0.0
14022,14023,2011,8,8,6,2,-1,-1,-1,107,23.0,94.0,1002.0,24.0,NW,4.92,0.0,0.0
14023,14024,2011,8,8,7,2,-1,-1,-1,135,23.0,88.0,1002.0,25.0,NW,8.05,0.0,0.0
14024,14025,2011,8,8,8,2,-1,-1,-1,109,23.0,78.0,1002.0,27.0,NW,12.07,0.0,0.0
14025,14026,2011,8,8,9,2,-1,-1,-1,98,24.0,78.0,1002.0,28.0,NW,15.2,0.0,0.0
14026,14027,2011,8,8,10,2,-1,-1,-1,90,23.0,70.0,1002.0,29.0,NE,1.79,0.0,0.0
14027,14028,2011,8,8,11,2,-1,-1,-1,91,23.0,62.0,1001.0,31.0,NW,1.79,0.0,0.0
14028,14029,2011,8,8,12,2,-1,-1,-1,84,22.0,55.0,1001.0,32.0,NW,3.58,0.0,0.0
14029,14030,2011,8,8,13,2,-1,-1,-1,87,21.0,49.0,1000.0,33.0,NE,1.79,0.0,0.0
14030,14031,2011,8,8,14,2,-1,-1,-1,75,22.0,49.0,999.0,34.0,NE,3.58,0.0,0.0
14031,14032,2011,8,8,15,2,-1,-1,-1,102,22.0,49.0,999.0,34.0,SE,0.89,0.0,0.0
14032,14033,2011,8,8,16,2,-1,-1,-1,104,21.0,46.0,998.0,34.0,SE,1.79,0.0,0.0
14033,14034,2011,8,8,17,2,-1,-1,-1,92,22.0,52.0,998.0,33.0,SE,4.92,0.0,0.0
14034,14035,2011,8,8,18,2,-1,-1,-1,97,24.0,62.0,998.0,32.0,SE,8.05,0.0,0.0
14035,14036,2011,8,8,19,2,-1,-1,-1,94,24.0,70.0,999.0,30.0,SE,11.18,0.0,0.0
14036,14037,2011,8,8,20,2,-1,-1,-1,92,24.0,74.0,999.0,29.0,SE,12.97,0.0,0.0
14037,14038,2011,8,8,21,2,-1,-1,-1,98,25.0,79.0,1000.0,29.0,SE,14.76,0.0,0.0
14038,14039,2011,8,8,22,2,-1,-1,-1,139,24.0,78.0,1001.0,28.0,SE,16.55,0.0,0.0
14039,14040,2011,8,8,23,2,-1,-1,-1,-1,24.0,83.0,1001.0,27.0,SE,18.34,0.0,0.0
14040,14041,2011,8,9,0,2,-1,-1,-1,194,25.0,88.0,1001.0,27.0,SE,20.13,0.0,0.0
14041,14042,2011,8,9,1,2,-1,-1,-1,209,25.0,88.0,1001.0,27.0,SE,21.92,0.0,0.0
14042,14043,2011,8,9,2,2,-1,-1,-1,208,25.0,94.0,1001.0,26.0,SE,23.71,0.0,0.0
14043,14044,2011,8,9,3,2,-1,-1,-1,211,24.0,88.0,1001.0,26.0,SE,25.5,0.0,0.0
14044,14045,2011,8,9,4,2,-1,-1,-1,201,24.0,94.0,1001.0,25.0,SE,27.29,0.0,0.0
14045,14046,2011,8,9,5,2,-1,-1,-1,226,24.0,94.0,1002.0,25.0,SE,0.89,0.0,0.0
14046,14047,2011,8,9,6,2,-1,-1,-1,214,25.0,94.0,1002.0,26.0,SE,1.78,0.0,0.0
14047,14048,2011,8,9,7,2,-1,-1,-1,212,25.0,94.0,1002.0,26.0,SE,1.79,0.0,0.0
14048,14049,2011,8,9,8,2,-1,-1,-1,227,25.0,88.0,1003.0,27.0,SE,3.58,0.0,0.0
14049,14050,2011,8,9,9,2,-1,-1,-1,217,25.0,79.0,1003.0,29.0,NW,0.89,0.0,0.0
14050,14051,2011,8,9,10,2,-1,-1,-1,212,25.0,74.0,1003.0,30.0,NW,1.78,0.0,0.0
14051,14052,2011,8,9,11,2,-1,-1,-1,230,26.0,74.0,1003.0,31.0,NW,2.67,0.0,0.0
14052,14053,2011,8,9,12,2,-1,-1,-1,202,26.0,74.0,1003.0,31.0,NW,1.79,0.0,0.0
14053,14054,2011,8,9,13,2,-1,-1,-1,195,26.0,66.0,1003.0,33.0,SE,0.89,0.0,0.0
14054,14055,2011,8,9,14,2,-1,-1,-1,221,26.0,66.0,1002.0,33.0,SE,1.79,0.0,0.0
14055,14056,2011,8,9,15,2,-1,-1,-1,201,26.0,63.0,1002.0,34.0,SE,4.92,0.0,0.0
14056,14057,2011,8,9,16,2,-1,-1,-1,202,25.0,59.0,1003.0,34.0,SE,8.05,0.0,0.0
14057,14058,2011,8,9,17,2,-1,-1,-1,102,25.0,70.0,1003.0,31.0,SE,9.84,0.0,0.0
14058,14059,2011,8,9,18,2,-1,-1,-1,34,21.0,69.0,1004.0,27.0,NW,9.83,29.5,29.5
14059,14060,2011,8,9,19,2,-1,-1,-1,30,21.0,88.0,1008.0,23.0,NW,17.88,12.4,41.9
14060,14061,2011,8,9,20,2,-1,-1,-1,36,21.0,100.0,1008.0,21.0,SE,0.89,3.0,44.9
14061,14062,2011,8,9,21,2,-1,-1,-1,42,21.0,94.0,1006.0,22.0,SE,4.92,0.3,45.2
14062,14063,2011,8,9,22,2,-1,-1,-1,-1,22.0,94.0,1009.0,23.0,NW,3.13,0.0,0.0
14063,14064,2011,8,9,23,2,-1,-1,-1,-1,21.0,94.0,1009.0,22.0,NE,0.89,0.0,0.0
14064,14065,2011,8,10,0,2,-1,-1,-1,-1,21.0,94.0,1008.0,22.0,NE,3.13,0.0,0.0
14065,14066,2011,8,10,1,2,-1,-1,-1,-1,21.0,94.0,1008.0,22.0,NW,1.79,0.0,0.0
14066,14067,2011,8,10,2,2,-1,-1,-1,-1,21.0,94.0,1007.0,22.0,NW,5.81,0.0,0.0
14067,14068,2011,8,10,3,2,-1,-1,-1,-1,21.0,94.0,1007.0,22.0,NW,7.6,0.0,0.0
14068,14069,2011,8,10,4,2,-1,-1,-1,-1,20.0,88.0,1007.0,22.0,NW,9.39,0.0,0.0
14069,14070,2011,8,10,5,2,-1,-1,-1,-1,20.0,83.0,1007.0,23.0,NW,12.52,0.0,0.0
14070,14071,2011,8,10,6,2,-1,-1,-1,-1,20.0,83.0,1008.0,23.0,NW,15.65,0.0,0.0
14071,14072,2011,8,10,7,2,-1,-1,-1,-1,21.0,83.0,1008.0,24.0,NW,18.78,0.0,0.0
14072,14073,2011,8,10,8,2,-1,-1,-1,-1,22.0,78.0,1009.0,26.0,NW,1.79,0.0,0.0
14073,14074,2011,8,10,9,2,-1,-1,-1,-1,21.0,69.0,1008.0,27.0,NW,4.02,0.0,0.0
14074,14075,2011,8,10,10,2,-1,-1,-1,-1,22.0,65.0,1009.0,29.0,NE,1.79,0.0,0.0
14075,14076,2011,8,10,11,2,-1,-1,-1,-1,20.0,52.0,1008.0,31.0,NE,2.68,0.0,0.0
14076,14077,2011,8,10,12,2,-1,-1,-1,-1,20.0,49.0,1008.0,32.0,NE,1.79,0.0,0.0
14077,14078,2011,8,10,13,2,-1,-1,-1,-1,20.0,43.0,1007.0,34.0,SE,0.89,0.0,0.0
14078,14079,2011,8,10,14,2,-1,-1,-1,-1,19.0,41.0,1006.0,34.0,SE,3.13,0.0,0.0
14079,14080,2011,8,10,15,2,-1,-1,-1,-1,18.0,38.0,1006.0,34.0,SE,4.92,0.0,0.0
14080,14081,2011,8,10,16,2,-1,-1,-1,-1,20.0,43.0,1005.0,34.0,SE,6.71,0.0,0.0
14081,14082,2011,8,10,17,2,-1,-1,-1,-1,21.0,49.0,1005.0,33.0,SE,8.5,0.0,0.0
14082,14083,2011,8,10,18,2,-1,-1,-1,-1,23.0,59.0,1005.0,32.0,SE,11.63,0.0,0.0
14083,14084,2011,8,10,19,2,-1,-1,-1,-1,23.0,66.0,1005.0,30.0,SE,14.76,0.0,0.0
14084,14085,2011,8,10,20,2,-1,-1,-1,58,24.0,78.0,1006.0,28.0,SE,16.55,0.0,0.0
14085,14086,2011,8,10,21,2,-1,-1,-1,54,24.0,78.0,1007.0,28.0,SE,19.68,0.0,0.0
14086,14087,2011,8,10,22,2,-1,-1,-1,70,24.0,83.0,1007.0,27.0,SE,21.47,0.0,0.0
14087,14088,2011,8,10,23,2,-1,-1,-1,74,24.0,88.0,1007.0,26.0,NE,0.89,0.0,0.0
14088,14089,2011,8,11,0,2,-1,-1,-1,64,24.0,94.0,1007.0,25.0,NE,1.79,0.0,0.0
14089,14090,2011,8,11,1,2,-1,-1,-1,82,24.0,94.0,1007.0,25.0,SE,0.89,0.0,0.0
14090,14091,2011,8,11,2,2,-1,-1,-1,119,24.0,94.0,1007.0,25.0,NE,1.79,0.0,0.0
14091,14092,2011,8,11,3,2,-1,-1,-1,146,23.0,94.0,1007.0,24.0,NE,0.89,0.0,0.0
14092,14093,2011,8,11,4,2,-1,-1,-1,121,22.0,94.0,1006.0,23.0,NE,0.89,0.0,0.0
14093,14094,2011,8,11,5,2,-1,-1,-1,64,23.0,100.0,1007.0,23.0,NE,1.78,0.0,0.0
14094,14095,2011,8,11,6,2,-1,-1,-1,51,23.0,100.0,1007.0,23.0,NW,1.79,0.0,0.0
14095,14096,2011,8,11,7,2,-1,-1,-1,61,24.0,94.0,1007.0,25.0,NW,3.58,0.0,0.0
14096,14097,2011,8,11,8,2,-1,-1,-1,83,24.0,83.0,1007.0,27.0,SE,0.89,0.0,0.0
14097,14098,2011,8,11,9,2,-1,-1,-1,96,24.0,74.0,1007.0,29.0,SE,1.79,0.0,0.0
14098,14099,2011,8,11,10,2,-1,-1,-1,80,25.0,70.0,1006.0,31.0,SE,0.89,0.0,0.0
14099,14100,2011,8,11,11,2,-1,-1,-1,87,24.0,62.0,1006.0,32.0,SE,1.78,0.0,0.0
14100,14101,2011,8,11,12,2,-1,-1,-1,91,23.0,52.0,1006.0,34.0,SE,1.79,0.0,0.0
14101,14102,2011,8,11,13,2,-1,-1,-1,-1,24.0,62.0,1005.0,32.0,SE,3.58,0.0,0.0
14102,14103,2011,8,11,14,2,-1,-1,-1,-1,23.0,52.0,1004.0,34.0,SE,6.71,0.0,0.0
14103,14104,2011,8,11,15,2,-1,-1,-1,103,23.0,55.0,1004.0,33.0,SE,9.84,0.0,0.0
14104,14105,2011,8,11,16,2,-1,-1,-1,101,22.0,52.0,1004.0,33.0,SE,12.97,0.0,0.0
14105,14106,2011,8,11,17,2,-1,-1,-1,111,23.0,55.0,1003.0,33.0,SE,16.1,0.0,0.0
14106,14107,2011,8,11,18,2,-1,-1,-1,108,24.0,66.0,1003.0,31.0,SE,17.89,0.0,0.0
14107,14108,2011,8,11,19,2,-1,-1,-1,113,24.0,70.0,1004.0,30.0,SE,19.68,0.0,0.0
14108,14109,2011,8,11,20,2,-1,-1,-1,130,24.0,74.0,1004.0,29.0,SE,21.47,0.0,0.0
14109,14110,2011,8,11,21,2,-1,-1,-1,133,25.0,83.0,1004.0,28.0,SE,24.6,0.0,0.0
14110,14111,2011,8,11,22,2,-1,-1,-1,161,25.0,88.0,1004.0,27.0,SE,26.39,0.0,0.0
14111,14112,2011,8,11,23,2,-1,-1,-1,123,24.0,83.0,1004.0,27.0,SE,28.18,0.0,0.0
14112,14113,2011,8,12,0,2,-1,-1,-1,115,22.0,74.0,1004.0,27.0,SE,29.97,0.0,0.0
14113,14114,2011,8,12,1,2,-1,-1,-1,111,24.0,88.0,1004.0,26.0,SE,31.76,0.0,0.0
14114,14115,2011,8,12,2,2,-1,-1,-1,105,24.0,88.0,1004.0,26.0,SE,0.89,0.0,0.0
14115,14116,2011,8,12,3,2,-1,-1,-1,111,24.0,94.0,1004.0,25.0,SE,0.89,0.0,0.0
14116,14117,2011,8,12,4,2,-1,-1,-1,103,24.0,94.0,1004.0,25.0,NE,0.89,0.0,0.0
14117,14118,2011,8,12,5,2,-1,-1,-1,107,24.0,94.0,1004.0,25.0,SE,1.79,0.0,0.0
14118,14119,2011,8,12,6,2,-1,-1,-1,125,24.0,94.0,1004.0,25.0,SE,0.89,0.0,0.0
14119,14120,2011,8,12,7,2,-1,-1,-1,128,24.0,88.0,1004.0,26.0,SE,0.89,0.0,0.0
14120,14121,2011,8,12,8,2,-1,-1,-1,141,24.0,83.0,1004.0,27.0,SE,0.89,0.0,0.0
14121,14122,2011,8,12,9,2,-1,-1,-1,112,25.0,79.0,1004.0,29.0,SE,1.78,0.0,0.0
14122,14123,2011,8,12,10,2,-1,-1,-1,118,23.0,66.0,1004.0,30.0,SE,1.79,0.0,0.0
14123,14124,2011,8,12,11,2,-1,-1,-1,132,25.0,70.0,1003.0,31.0,SE,0.89,0.0,0.0
14124,14125,2011,8,12,12,2,-1,-1,-1,153,24.0,62.0,1003.0,32.0,SE,3.13,0.0,0.0
14125,14126,2011,8,12,13,2,-1,-1,-1,159,24.0,62.0,1002.0,32.0,SE,6.26,0.0,0.0
14126,14127,2011,8,12,14,2,-1,-1,-1,151,24.0,62.0,1002.0,32.0,SE,8.05,0.0,0.0
14127,14128,2011,8,12,15,2,-1,-1,-1,161,24.0,59.0,1001.0,33.0,SE,11.18,0.0,0.0
14128,14129,2011,8,12,16,2,-1,-1,-1,148,24.0,62.0,1001.0,32.0,SE,14.31,0.0,0.0
14129,14130,2011,8,12,17,2,-1,-1,-1,138,23.0,62.0,1001.0,31.0,SE,17.44,0.0,0.0
14130,14131,2011,8,12,18,2,-1,-1,-1,171,24.0,70.0,1001.0,30.0,SE,20.57,0.0,0.0
14131,14132,2011,8,12,19,2,-1,-1,-1,174,25.0,79.0,1001.0,29.0,SE,23.7,0.0,0.0
14132,14133,2011,8,12,20,2,-1,-1,-1,154,25.0,83.0,1002.0,28.0,SE,27.72,0.0,0.0
14133,14134,2011,8,12,21,2,-1,-1,-1,140,25.0,88.0,1003.0,27.0,SE,29.51,0.0,0.0
14134,14135,2011,8,12,22,2,-1,-1,-1,130,25.0,88.0,1003.0,27.0,SE,32.64,0.0,0.0
14135,14136,2011,8,12,23,2,-1,-1,-1,113,24.0,88.0,1002.0,26.0,SE,0.89,0.0,0.0
14136,14137,2011,8,13,0,2,-1,-1,-1,100,24.0,88.0,1002.0,26.0,SE,1.79,0.0,0.0
14137,14138,2011,8,13,1,2,-1,-1,-1,98,24.0,88.0,1002.0,26.0,SE,3.58,0.0,0.0
14138,14139,2011,8,13,2,2,-1,-1,-1,91,24.0,88.0,1001.0,26.0,SE,6.71,0.0,0.0
14139,14140,2011,8,13,3,2,-1,-1,-1,86,24.0,94.0,1001.0,25.0,SE,9.84,0.0,0.0
14140,14141,2011,8,13,4,2,-1,-1,-1,96,24.0,94.0,1001.0,25.0,SE,11.63,0.0,0.0
14141,14142,2011,8,13,5,2,-1,-1,-1,92,24.0,94.0,1001.0,25.0,SE,13.42,0.0,0.0
14142,14143,2011,8,13,6,2,-1,-1,-1,99,24.0,94.0,1001.0,25.0,SE,15.21,0.0,0.0
14143,14144,2011,8,13,7,2,-1,-1,-1,116,23.0,88.0,1001.0,25.0,SE,18.34,0.0,0.0
14144,14145,2011,8,13,8,2,-1,-1,-1,110,23.0,83.0,1001.0,26.0,SE,21.47,0.0,0.0
14145,14146,2011,8,13,9,2,-1,-1,-1,132,24.0,83.0,1001.0,27.0,SE,23.26,0.0,0.0
14146,14147,2011,8,13,10,2,-1,-1,-1,137,24.0,83.0,1001.0,27.0,SE,25.05,0.0,0.0
14147,14148,2011,8,13,11,2,-1,-1,-1,135,25.0,79.0,1000.0,29.0,SE,26.84,0.0,0.0
14148,14149,2011,8,13,12,2,-1,-1,-1,125,25.0,79.0,1000.0,29.0,SE,29.97,0.0,0.0
14149,14150,2011,8,13,13,2,-1,-1,-1,148,24.0,70.0,1000.0,30.0,SE,33.1,0.0,0.0
14150,14151,2011,8,13,14,2,-1,-1,-1,134,24.0,66.0,999.0,31.0,SE,36.23,0.0,0.0
14151,14152,2011,8,13,15,2,-1,-1,-1,134,25.0,70.0,999.0,31.0,SE,39.36,0.0,0.0
14152,14153,2011,8,13,16,2,-1,-1,-1,147,24.0,70.0,999.0,30.0,SE,42.49,0.0,0.0
14153,14154,2011,8,13,17,2,-1,-1,-1,141,25.0,74.0,998.0,30.0,SE,45.62,0.0,0.0
14154,14155,2011,8,13,18,2,-1,-1,-1,142,25.0,79.0,999.0,29.0,SE,48.75,0.0,0.0
14155,14156,2011,8,13,19,2,-1,-1,-1,130,25.0,79.0,1000.0,29.0,SE,50.54,0.0,0.0
14156,14157,2011,8,13,20,2,-1,-1,-1,123,25.0,83.0,1000.0,28.0,SE,52.33,0.0,0.0
